Player,TWR,Number of Matches,Kills,Assists,KDA,KD,KAS,Knocks,Kills/Knocks,Damage Dealt,AR Damage,DMR Damage,SR Damage,Avg Damage Dealt,Damage Taken,Avg Damage Taken,Damage Taken (Zone),Damage Taken (Enemy),Damage Dealt/Damage Taken,Revives,Died 1st,Died 2nd,Died 3rd,Died 4th,Knocked,Revived,Headshot Kills,Longest Kill (m),Stolen Kills,Lost Kills,Grenades Picked,Grenades Dropped,Grenades Thrown,Grenades Damage,Molotovs Picked,Molotovs Dropped,Molotovs Thrown,Molotovs Damage,Smokes Picked,Smokes Dropped,Smokes Thrown,Flashes Picked,Flashes Dropped,Flashes Thrown,Swimming Distance (km),Walk Distance (km),Ride Distance (km),Time Survived,Avg Time Survived,Heals,Health Recovered,Boosts,Vehicle Destroys
T5_RossitedJR,48,3,1,0,0.3,0.3,0.3,1,1,609.4,139.5,469.9,0,203.1,355.9,118.6,0,355.9,1.7,1,1,1,1,0,3,0,0,174,1,0,7,0,0,0,1,0,0,0,8,0,3,4,0,0,0,3,3.9,00:56:02,00:18:40,2,55.9,2,0
DAY_Flash,48,3,2,0,0.7,0.7,0.7,2,1,269.5,158,61.1,0,89.8,769.3,256.4,37.2,703.1,0.4,1,0,1,1,1,4,2,0,129.7,0,0,4,0,3,0,2,0,0,0,10,0,9,6,0,2,0,3.1,17.1,01:06:39,00:22:13,9,449.3,11,0
GEN_Pio,48,3,2,1,1,0.7,0.3,2,1,448.7,82.2,332.5,0,149.6,708.8,236.3,0,682.9,0.7,0,1,0,1,1,2,0,0,64.5,0,0,10,0,3,34,0,0,0,0,15,0,9,8,3,4,0,3.1,10.6,01:04:02,00:21:20,9,408.8,15,0
Tian_Zyy,48,3,2,0,0.7,0.7,0.7,1,2,246.8,110.1,97.2,0,82.3,745,248.3,87.8,585,0.4,4,2,0,0,1,2,0,0,69.1,1,0,15,8,4,39.5,3,0,1,0,12,7,1,5,0,1,0,3.5,11.8,01:10:14,00:23:24,7,445,23,0
SQ_TGLTN,47,3,2,0,0.7,0.7,0.3,2,1,443.5,205.2,238.4,0,147.8,542.6,180.8,46.2,496.4,0.9,1,1,0,1,1,2,0,1,151.9,0,0,12,2,4,0,3,0,2,0,13,3,3,3,0,0,0,3.2,14.6,00:54:55,00:18:18,4,242.6,3,1
GEN_DG98,47,3,2,1,1,0.7,0.3,2,1,391.2,242.4,148.8,0,130.4,488.3,162.8,56,382.9,1,1,2,0,1,0,3,0,1,23.6,0,0,8,0,1,0,2,0,1,0,12,0,7,8,2,0,0,3,22.2,00:58:22,00:19:27,5,188.3,6,0
TWIS_Perfect1ks,45,3,1,1,0.7,0.3,0.3,1,1,431.7,183.7,134.2,0,143.9,457.6,152.5,0,437.8,1,1,3,0,0,0,5,2,0,28.7,0,0,12,3,3,113.8,0,0,0,0,9,2,4,4,0,1,0,2.7,8.5,00:46:16,00:15:25,4,137.6,3,0
17_Lilghost,41,3,1,1,0.7,0.3,0.3,0,1,278.4,35.3,243,0,92.8,513.8,171.3,0,513.8,0.5,1,2,1,0,0,4,1,0,135.4,1,0,9,0,5,0,0,0,0,0,14,0,9,8,0,2,0,3.4,14.8,01:05:29,00:21:49,4,203.8,12,0
SSG_Sharpshot4K,40,3,0,1,0.3,0,0.3,2,0,353.7,353.7,0,0,117.9,668.1,222.7,140.6,506.4,0.7,0,0,2,0,1,2,0,0,0,0,1,3,0,0,0,5,0,0,0,8,1,2,6,0,0,0,1.6,34.7,00:55:55,00:18:38,3,368.1,11,0
T5_Pathompong,40,3,0,1,0.3,0,0.3,1,0,348.9,166.9,182,0,116.3,601.5,200.5,0,544.1,0.6,0,0,2,1,0,5,2,0,0,0,0,16,7,3,0,1,0,0,0,7,0,3,6,0,0,0,1.9,3.7,00:56:48,00:18:56,4,281.5,6,0
SQ_hwinn,38,3,0,1,0.3,0,0.3,2,0,292.2,126.3,165.9,0,97.4,405.1,135,40,351,0.8,0,2,1,0,0,3,0,0,0,0,0,10,1,6,0,5,2,1,0,9,0,6,2,0,1,0,2.8,14.6,00:51:57,00:17:19,1,105.1,3,0
GEN_Seongjang,38,3,0,1,0.3,0,0.3,0,0,284.8,211.4,73.4,0,94.9,576.5,192.2,0,576.5,0.5,0,0,2,0,1,3,1,0,0,0,0,3,0,0,0,3,0,1,0,10,0,6,4,0,0,0,3.2,16.6,01:03:11,00:21:03,5,266.5,9,0
DAY_Nourinz,35,3,1,0,0.3,0.3,0.3,1,1,124.4,124.4,0,0,41.5,359.6,119.9,0,357.7,0.3,1,1,2,0,0,3,0,1,21.7,0,0,5,0,0,0,2,0,0,0,8,0,5,10,1,4,0,2.6,15.6,01:02:36,00:20:52,1,59.6,3,0
PeRo_Summer,35,3,0,0,0,0,0,1,0,438.7,26.1,290.1,0,146.2,343.8,114.6,0,331.2,1.3,0,1,0,0,2,1,0,0,0,0,0,5,1,4,122.5,4,2,0,0,10,0,5,14,0,4,0,3.7,5.6,01:04:14,00:21:24,1,43.8,2,1
SSG_PiXeL1K,31,3,0,1,0.3,0,0.3,0,0,27,0,27,0,9,882.2,294.1,144.6,624.3,0,2,0,1,1,1,2,0,0,0,0,0,8,0,2,0,2,0,0,0,11,1,6,3,0,0,0,2,34.8,00:57:47,00:19:15,17,582.2,17,0
V7_Tosi,31,3,0,0,0,0,0,1,0,297.5,10.2,285,0,99.2,573,191,34.2,538.8,0.6,0,2,0,0,1,1,0,0,0,0,0,15,4,2,2.4,1,0,0,0,6,0,3,8,1,1,0,3.8,11.2,00:51:37,00:17:12,4,273,5,0
T5_Hatsawat,26,3,0,0,0,0,0,0,0,124,60.6,63.4,0,41.3,305,101.7,0,268.6,0.5,0,2,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,3,5,1,0,0,1.5,3.7,00:44:13,00:14:44,0,5,1,0
SSG_Roth,24,3,0,0,0,0,0,0,0,49,0,0,0,16.3,696.4,232.1,161.1,469,0.1,0,1,0,1,1,4,2,0,0,0,0,1,0,1,49,3,1,0,0,9,0,5,3,0,1,0,1.2,20.2,00:47:33,00:15:51,9,376.4,7,0
