,Total Points,Avg Total Points,WWCD,Avg Rank,Place Pts,Avg Place Pts,Kills,Avg Kills,Assists,Damage Dealt,Avg Damage Dealt,Damage Taken,Avg Damage Taken,Knocks,Revives,Headshot Kills,Stolen Kills,Lost Kills,Grenades Picked,Grenades Dropped,Grenades Thrown,Grenades Damage,Molotovs Picked,Molotovs Dropped,Molotovs Thrown,Molotovs Damage,Smokes Picked,Smokes Dropped,Smokes Thrown,Flashes Picked,Flashes Dropped,Flashes Thrown,Swimming Distance (km),Walk Distance (km),Ride Distance (km),Heals,Health Recovered,Boosts,Vehicle Destroys
Avg Damage Dealt,0.7487408377941408,0.7543933093972205,0.45198488429725864,-0.6740874113520207,0.7378625212751994,0.7287305099988874,0.6379692845814904,0.6393159601161764,0.67378715869265,0.9999999759700693,1.0,0.5263401666856298,0.526399248838839,0.8089722665865499,0.46938013565387454,0.38821107264277505,0.4017050759358806,0.583989451960974,0.3346472870111848,0.20263134678003186,0.4258443682144051,0.18143171265465088,0.18648459608858764,0.19393263461306304,0.2546294580204301,0.5218083613082409,0.33800463260621794,0.5129969987230695,0.12779719066566747,-0.2937462263320571,0.22390968848607787,0.014503125907452277,,0.8199745090811748,0.053310051697811514,0.49311815296618344,0.5509153515066365,0.5227197367911974,0.20862677638533278
Damage Taken,0.7149402584985887,0.7087244197269641,0.443331380378253,-0.6444144209858316,0.5803506502951088,0.558197407608097,0.7162011537031683,0.7186539051034577,0.7521831183278644,0.5262783353768913,0.5263401666856298,1.0,0.9999999801244186,0.5294418621631586,0.6596295592370276,0.38661325674893504,0.34799395957211504,0.2834473148350258,0.41618189637738817,0.09918176658900492,0.5373744507797691,0.24421901339940696,0.1783278884861906,0.3778298681185747,0.11952793113513172,0.3461028454449692,0.460184863509164,-0.0028983357176858996,0.514933604353572,-0.08636309133775853,0.27815310053165493,0.18723106628788447,,0.651529693862984,-0.10329244216426442,0.9594188525137612,0.9948900335088886,0.7277094072444374,0.5308481461361095
Avg Damage Taken,0.714979221410667,0.7087627323579725,0.44340906131372254,-0.6444713356348336,0.5804226394319595,0.558270581450585,0.7162054039954041,0.7186565160143248,0.7521721204660509,0.526337413365553,0.526399248838839,0.9999999801244186,1.0,0.5294734550835577,0.6596281589620138,0.38662685901565846,0.3479973257738414,0.28352547055791866,0.4161908061563058,0.09916529559792737,0.5374365076709243,0.24423932518628377,0.17831249100911636,0.3778281238698373,0.11958793020729748,0.34616000217296955,0.4602494017805673,-0.0028377135001575295,0.5150094059199378,-0.08636527284364261,0.27814903429650123,0.18724749857795162,,0.6516273283326542,-0.10323005608187133,0.9594354910463008,0.994895335554478,0.7277520129765404,0.5308356985231618
Knocks,0.7175844767115529,0.7189838732663921,0.33068023580818623,-0.46552603538027976,0.543282273815021,0.5322408833731778,0.7526435477564523,0.7575158679732995,0.663888438338672,0.8089748518298812,0.8089722665865499,0.5294418621631586,0.5294734550835577,1.0,0.3805407443487342,0.7217491664027019,0.2683567749461061,0.41855276629346205,0.1584733287440461,-0.0636789566862972,0.24531628978593115,-0.03282848550936242,0.3425030411332585,0.3435802819479931,0.33536326526901267,0.3564024272639087,0.25086990135259196,0.29584069528035073,0.02791748412613916,-0.5192158823917432,0.03851617749823599,-0.21512462826918302,,0.723516568449164,0.26136506905908674,0.5088147580624299,0.5464131642666333,0.4853812777789986,0.21427392101480128
Revives,0.40695385959819796,0.4051380762585602,0.16851618843913216,-0.4108079398606721,0.32901090600092153,0.3139704802570622,0.40882003053788946,0.4034017920369375,0.7086041255235881,0.46933129539064,0.46938013565387454,0.6596295592370276,0.6596281589620138,0.3805407443487342,1.0,-0.09491395064834444,0.14450650010559193,0.08995010152832246,0.38200073581063426,0.31963709861332534,0.44947365483690627,0.43036530156426944,0.23866633399594595,0.22000040533679238,0.18734248262535624,0.4961641630223903,0.41912108986439256,0.17925562966321013,0.3395038480436039,0.15103628626430912,0.40773904567793906,0.37316667981141843,,0.4599184366315896,-0.2626859122808998,0.559095212369844,0.6452774957860339,0.14677589089375592,0.637367455995817
Headshot Kills,0.5462219020794897,0.541164809295337,0.3865631973711878,-0.2553304659387127,0.4462714370055856,0.44512013313756915,0.544705615364847,0.5466333346321779,0.4065066635268993,0.38823569793691665,0.38821107264277505,0.38661325674893504,0.38662685901565846,0.7217491664027019,-0.09491395064834444,1.0,0.1210638017757535,0.4828195707101187,-0.02349749772144081,-0.26706321759662477,0.052154388190192656,-0.1802874908210988,0.19115472291601635,0.29771373845093324,0.1801538578981806,-0.03148433083704465,0.15815584801128146,0.044750482226656584,0.02865299927959813,-0.4140421179346187,-0.08537828416554787,-0.3539970809505315,,0.4882344334095954,0.2024867683234195,0.47903173860202053,0.4102583513218395,0.5182267039163615,-0.04798889641597151
Stolen Kills,0.6012190223336432,0.6126849776695384,0.30567853018669366,-0.47325464943509093,0.47688505788029295,0.4730419148925112,0.6118902475167396,0.610744003063103,0.13149071041961866,0.4016427977191294,0.4017050759358806,0.34799395957211504,0.3479973257738414,0.2683567749461061,0.14450650010559193,0.1210638017757535,1.0,0.02227811108516345,0.5188797449422826,0.3937663772340922,0.4813486280759464,0.12619133207106453,-0.1607725164103647,0.05154817047625754,0.17427928253176145,0.24526087004825076,-0.02282789321356069,0.14398406985232737,-0.12839008993149226,-0.2028209533638333,-0.26175717092466166,-0.2682604320320615,,0.14133160434202272,0.07257146959043999,0.26652010433128864,0.3445848202556441,0.49940851943544823,0.3389845671698404
Lost Kills,0.33614367747974344,0.3331853631911159,0.33905438880180067,-0.4446815717066294,0.5119801612418879,0.5200213837365233,0.13067695234075533,0.12637308139486925,0.5604820272655671,0.5839626750724616,0.583989451960974,0.2834473148350258,0.28352547055791866,0.41855276629346205,0.08995010152832246,0.4828195707101187,0.02227811108516345,1.0,0.03764543972153192,0.09040169536298032,0.13758454933135825,0.05067458004189765,-0.18676078748481506,-0.11423237048212267,-0.016878345844954668,0.31705790946198925,0.3320722559424994,0.4628073087012418,0.2504952750151682,-0.04732177710715741,0.4285615371528782,0.02640007192114844,,0.6124366158585194,-0.049161884608450175,0.34887297198817907,0.3168432190496271,0.3261338568214855,-0.10298059215018913
Grenades Picked,0.6309891547060708,0.6325346945913628,0.6064529229941975,-0.5244807482456126,0.6889817355475575,0.6824277485010856,0.47976275810438807,0.46146743435154414,0.3426075110353747,0.33454424813773903,0.3346472870111848,0.41618189637738817,0.4161908061563058,0.1584733287440461,0.38200073581063426,-0.02349749772144081,0.5188797449422826,0.03764543972153192,1.0,0.7757874380821581,0.8833805007390919,0.7317192205335071,0.38300562286989925,0.6153606004294531,0.18020190479433346,0.4628779106721834,0.5001529258829381,0.4609258925115434,0.3757452662643071,0.021700541845938486,0.3170004598444652,0.1699637939319508,,0.23691071689862958,-0.3665132694480465,0.3690970818741151,0.4485234086024033,0.5553673191590484,0.5195151025956857
Grenades Dropped,0.2150833853820431,0.2219163348088423,0.28839660922777616,-0.32358492743553074,0.3926894635507991,0.3898950158270485,0.027517529749960017,0.013182041803669428,0.1948473368227706,0.2025519180775676,0.20263134678003186,0.09918176658900492,0.09916529559792737,-0.0636789566862972,0.31963709861332534,-0.26706321759662477,0.3937663772340922,0.09040169536298032,0.7757874380821581,1.0,0.4827080647606997,0.608805649250098,0.00869681889793293,0.22729156022541494,-0.11771545129394595,0.5828319016115512,0.37965211137437155,0.5679330914411604,0.19500434166875533,-0.029695766907431826,0.5507727994587588,-0.018825252127350298,,-0.05990988286496163,-0.3091514159473532,0.04760666853040566,0.12700483159080392,0.06820571388274188,0.46652459271013413
