Player,TWR,Number of Matches,Kills,Assists,KDA,KD,KAS,Knocks,Kills/Knocks,Damage Dealt,AR Damage,DMR Damage,SR Damage,Avg Damage Dealt,Damage Taken,Avg Damage Taken,Damage Taken (Zone),Damage Taken (Enemy),Damage Dealt/Damage Taken,Revives,Died 1st,Died 2nd,Died 3rd,Died 4th,Knocked,Revived,Headshot Kills,Longest Kill (m),Stolen Kills,Lost Kills,Grenades Picked,Grenades Dropped,Grenades Thrown,Grenades Damage,Molotovs Picked,Molotovs Dropped,Molotovs Thrown,Molotovs Damage,Smokes Picked,Smokes Dropped,Smokes Thrown,Flashes Picked,Flashes Dropped,Flashes Thrown,Swimming Distance (km),Walk Distance (km),Ride Distance (km),Time Survived,Avg Time Survived,Heals,Health Recovered,Boosts,Vehicle Destroys
CES_Sololzy,71,6,5,8,2.6,1,0.8,10,0.5,1476.3,160.6,1315.7,0,246,2222.9,370.5,134.7,1935.5,0.8,3,0,2,2,1,7,3,1,367.5,0,4,8,0,8,22.5,2,0,1,0,21,3,14,12,0,3,0,9.1,23,02:39:32,00:26:35,40,1601.7,35,1
DNW_Loki,71,6,7,2,1.5,1.2,0.7,7,1,1936.2,453.9,1265.6,0,322.7,1400,233.3,13.2,1240.2,1.6,1,1,1,2,2,6,2,2,593.9,3,2,21,3,12,77.4,6,0,4,68,13,2,10,8,0,5,0,7.7,39,02:26:38,00:24:26,15,778.3,26,1
TWIS_Perfect1ks,71,6,4,9,2.6,0.8,0.7,6,0.7,2180.4,585.1,1112.4,0,363.4,1663.8,277.3,26,1503.6,1.5,2,1,0,2,2,7,4,0,62.7,0,0,25,3,16,318.9,2,0,1,44,19,0,14,17,3,10,0,6.8,18.6,02:17:29,00:22:54,20,1121.8,24,1
V7_Heaven,71,6,4,3,1.2,0.7,0.8,7,0.6,1791.2,838.4,377.7,0,298.5,1457.3,242.9,22.6,1383.8,1.3,2,1,1,2,2,6,2,2,162.4,0,0,16,1,10,154.4,6,2,0,0,19,2,10,17,4,2,0,6.8,20.8,02:03:38,00:20:36,22,837.3,24,0
NH_MMing,70,6,9,2,2.2,1.8,0.5,8,1.1,1668.6,494.6,687.5,0,278.1,1555.3,259.2,36,1439.3,1.2,1,1,1,1,2,6,2,1,251,1,0,14,1,7,168.5,0,0,0,0,20,0,12,11,0,2,0,8.7,24.6,02:11:57,00:21:59,15,935.3,26,0
SQ_hwinn,68,6,5,4,1.8,1,0.8,5,1,1387.4,221,841.2,0,231.2,1657.5,276.3,88.6,1546.4,0.9,2,2,0,2,1,5,2,1,70.4,0,1,15,1,9,267.8,3,0,0,0,23,5,7,13,1,3,0,7.4,14.6,02:08:18,00:21:23,29,1137.5,18,1
NH_CC108,68,6,6,6,2.4,1.2,0.7,5,1.2,1395.4,470.4,820.8,0,232.6,1401.6,233.6,89,1240,1.1,1,1,4,0,0,7,2,2,207.7,1,2,17,0,10,104.1,5,0,2,0,28,0,20,13,1,5,0,7.9,25.8,02:11:21,00:21:53,11,856.6,30,2
T5_Hatsawat,67,6,6,2,1.6,1.2,0.8,7,0.9,1283.1,585.6,614.6,0,213.9,799.4,133.2,0,751.4,1.7,3,1,2,1,1,4,0,1,33.3,0,0,10,1,5,82.9,1,0,0,0,27,4,13,14,6,6,0,5.6,9.9,02:04:29,00:20:44,3,299.4,11,0
FaZe_curexi,66,6,6,7,2.2,1,0.8,5,1.2,1112.5,388.3,123.6,44,185.4,1744.8,290.8,331.4,1375.4,0.8,2,3,1,2,0,8,2,1,315.4,0,1,19,1,6,52.2,6,0,0,0,11,0,4,1,0,0,0,9.4,17.2,02:11:09,00:21:51,19,1124.8,36,0
Tian_PaoPao,66,6,6,5,1.8,1,0.8,7,0.9,1113.4,410.9,650.3,0,185.6,1183,197.2,102.2,993.8,1.1,0,3,2,1,0,8,2,1,222.9,0,1,9,1,4,5.8,0,0,0,0,16,2,2,7,0,0,0,5.9,26.2,01:42:47,00:17:07,6,563,15,0
T5_Thanad0l,65,6,5,2,1.4,1,0.5,7,0.7,1724.6,755.5,890.9,0,287.4,1224.6,204.1,0,1165.2,1.5,5,1,0,3,1,6,2,2,83.4,0,0,15,0,9,78.2,4,0,0,0,20,0,13,17,3,7,0,7.4,7.8,02:07:52,00:21:18,15,672.3,24,1
T5_Pathompong,65,6,6,1,1.4,1.2,0.5,4,1.5,1626.4,523.6,767.2,0,271.1,1354.7,225.8,207.2,1042.7,1.6,1,2,1,0,2,6,3,1,213.9,2,0,22,5,11,65.2,3,0,0,0,28,5,8,12,0,2,0,6.6,9.1,02:06:31,00:21:05,11,756.9,15,0
NH_Nannnnn,63,6,7,1,1.6,1.4,0.7,5,1.4,1168.4,627.9,421,0,194.7,1931.3,321.9,43,1849.3,0.6,4,0,0,2,3,3,1,1,352.6,1,0,19,1,16,119.6,4,0,3,0,28,0,28,7,0,5,0,7.2,28.6,02:17:24,00:22:54,25,1407.3,27,2
DNW_seoul,62,6,3,5,1.3,0.5,0.7,4,0.8,1409,192.4,1162.6,0,234.8,1341.2,223.5,12.6,1161.9,1.2,2,1,2,2,1,6,1,1,58.1,2,1,16,0,7,34,1,0,0,0,37,7,13,9,0,0,0,7.8,33.7,02:11:27,00:21:54,13,731.2,32,0
17_Lilghost,62,6,7,3,1.7,1.2,0.7,4,1.8,1083.1,224.1,406.2,0,180.5,1826.8,304.5,124,1590.7,0.7,0,2,3,0,1,9,4,3,150.6,2,1,20,3,13,269.2,0,0,0,0,35,6,18,17,0,4,0,6.5,23.4,02:15:28,00:22:34,23,1185.7,37,1
V7_Tosi,62,6,5,3,1.3,0.8,0.7,7,0.7,1277.1,508.5,60.2,0,212.9,1550.6,258.4,155.2,1348.7,0.9,2,2,0,2,2,6,2,0,112,0,1,18,1,14,86,2,1,1,0,17,0,9,10,1,1,0,6.3,14.2,01:52:09,00:18:41,13,930.6,21,0
FaZe_Gustav,62,6,4,5,1.5,0.7,0.7,5,0.8,1258.9,462.2,619.6,0,209.8,2045.8,341,248.6,1761.1,0.7,2,1,1,2,2,6,2,3,196.7,0,1,14,1,12,141.3,4,0,4,0,25,1,20,13,1,7,0,8.4,18.1,02:22:43,00:23:47,26,1425.8,38,3
SSG_Sharpshot4K,61,6,6,4,1.7,1,0.5,10,0.6,1332.2,301.3,410.5,0,222,1116.8,186.1,6.2,1069.7,1.2,0,2,1,3,0,6,0,3,407.5,1,2,14,0,8,300.2,3,0,2,0,19,0,7,10,0,3,0,5.7,29.3,02:06:10,00:21:01,8,516.8,16,1
TL_Shen,60,6,6,1,1.2,1,0.5,10,0.6,1399.6,604.6,285.4,187.3,233.3,1570.9,261.8,286.8,1197.1,1.2,2,1,2,1,2,6,2,3,423.7,1,0,13,0,7,171.4,0,0,0,0,19,0,9,5,0,0,0,7.5,33.3,02:07:25,00:21:14,15,950.9,26,1
TWIS_BatulinS,60,6,6,3,1.5,1,0.5,5,1.2,1261.3,132.4,1023.9,0,210.2,1865.8,311,578.9,1164.2,1.1,1,3,2,0,1,5,0,1,364.7,1,1,21,3,4,30.1,2,0,1,75,24,1,12,6,0,1,0,7.4,21.2,02:03:46,00:20:37,28,1263.8,25,0
NH_Dec12th,59,6,5,2,1.4,1,0.7,4,1.3,994.5,427.5,471.6,0,165.7,1805.1,300.9,31.2,1699.4,0.6,2,3,0,2,0,9,3,2,192,1,0,17,0,14,75.4,3,1,1,0,29,6,23,16,2,5,0,6.1,22.6,02:08:53,00:21:28,23,1175.1,37,1
17_Xbei,59,6,9,2,1.8,1.5,0.5,7,1.3,908.7,124.6,625,0,151.5,1305.5,217.6,164,1037.6,0.9,3,0,1,1,4,3,1,3,242.4,1,1,32,6,21,133.1,9,1,7,26,25,7,11,17,0,3,0,6.3,23.3,02:19:08,00:23:11,12,695.5,24,3
Tian_Zyy,58,6,4,6,1.7,0.7,0.7,6,0.7,952.4,496.2,456.2,0,158.7,1256.6,209.4,333.5,837.1,1.1,1,3,3,0,0,6,0,1,183.8,0,1,17,4,2,0,5,0,1,0,14,3,4,4,0,0,0,5.8,27.8,01:43:40,00:17:16,9,656.6,24,0
V7_Glaz,58,6,4,2,1,0.7,0.7,3,1.3,1133.4,334.4,646,0,188.9,1741.3,290.2,14,1586,0.7,0,1,2,2,1,9,4,0,86.9,1,1,16,4,8,68.2,1,0,0,0,18,1,14,15,0,7,0,6.4,22.2,02:01:16,00:20:12,24,1101.3,22,1
TL_Jiaoyang,57,6,6,2,1.3,1,0.7,4,1.5,836.3,293.5,411.6,0,139.4,1419.2,236.5,71.8,1184.1,0.7,6,1,1,2,2,7,3,1,240.3,1,0,8,0,6,0,3,0,2,0,23,0,10,8,0,0,0,5.9,36.4,02:00:33,00:20:05,11,789.2,11,0
CES_HaiSaki,56,6,5,2,1.2,0.8,0.7,2,2.5,929.4,34,771.1,0,154.9,2024.8,337.5,0,1932.9,0.5,2,3,1,2,0,12,6,2,216.8,1,0,10,0,3,30.5,0,0,0,0,24,4,12,14,5,0,0,12.5,18.6,02:15:56,00:22:39,29,1363.8,27,0
DAY_Nourinz,56,6,6,3,1.5,1,0.5,5,1.2,978.9,612.5,251.7,0,163.1,1384.5,230.8,42,1302.9,0.8,4,1,0,2,3,6,3,1,84.9,1,0,13,0,8,80.7,5,0,2,0,19,1,14,11,1,4,0,5.3,22.7,02:10:50,00:21:48,13,754.5,16,0
LG_Snakers,55,6,7,0,1.2,1.2,0.5,4,1.8,974.2,334.9,536.4,0,162.4,1722,287,295.3,1364.4,0.7,2,0,1,1,4,3,1,2,132.6,0,0,18,7,5,23.1,3,0,2,79.9,23,3,15,8,2,3,0,6.8,22.3,02:10:04,00:21:40,24,1110.6,24,0
FaZe_Fexx,54,6,4,2,1,0.7,0.5,4,1,1091,471.5,516.8,0,181.8,979.2,163.2,0,847.4,1.3,0,2,2,1,1,6,1,1,435.7,0,0,17,2,10,102.7,4,1,2,0,32,3,13,14,5,1,0,6,16.2,02:01:49,00:20:18,12,369.2,17,1
GEN_Pio,53,6,2,3,0.8,0.3,0.7,5,0.4,930.6,240.5,651.5,0,155.1,1387.5,231.3,56.5,1209.3,0.8,1,3,2,1,0,7,1,0,76.4,0,2,8,0,6,38.5,3,0,0,0,30,5,6,19,1,3,0,5.5,13.8,02:04:32,00:20:45,13,777.5,28,1
